0,Tue Jun 12 16:01:09 2018
1,Tue Jun 12 16:22:00 2018
2,Tue Jun 12 16:42:59 2018
3,Tue Jun 12 17:04:17 2018
4,Tue Jun 12 17:25:32 2018
5,Tue Jun 12 17:46:30 2018
6,Tue Jun 12 18:06:11 2018
7,Tue Jun 12 18:26:10 2018
8,Tue Jun 12 18:46:12 2018
9,Tue Jun 12 19:06:05 2018
10,Tue Jun 12 19:26:02 2018
11,Tue Jun 12 19:45:58 2018
12,Tue Jun 12 20:06:02 2018
13,Tue Jun 12 20:26:03 2018
14,Tue Jun 12 20:46:04 2018
15,Tue Jun 12 21:06:08 2018
16,Tue Jun 12 21:25:21 2018
17,Tue Jun 12 21:44:39 2018
18,Tue Jun 12 22:03:50 2018
19,Tue Jun 12 22:22:53 2018
20,Tue Jun 12 22:41:51 2018
21,Tue Jun 12 23:00:54 2018
22,Tue Jun 12 23:20:15 2018
23,Tue Jun 12 23:39:41 2018
24,Tue Jun 12 23:58:55 2018
25,Wed Jun 13 00:18:13 2018
26,Wed Jun 13 00:36:31 2018
27,Wed Jun 13 00:55:09 2018
28,Wed Jun 13 01:13:35 2018
29,Wed Jun 13 01:31:50 2018
30,Wed Jun 13 01:50:03 2018
31,Wed Jun 13 02:08:12 2018
32,Wed Jun 13 02:26:20 2018
33,Wed Jun 13 02:44:24 2018
34,Wed Jun 13 03:02:29 2018
35,Wed Jun 13 03:20:49 2018
36,Wed Jun 13 03:38:21 2018
37,Wed Jun 13 03:55:56 2018
38,Wed Jun 13 04:13:30 2018
39,Wed Jun 13 04:31:02 2018
40,Wed Jun 13 04:48:14 2018
41,Wed Jun 13 05:05:39 2018
42,Wed Jun 13 05:23:08 2018
43,Wed Jun 13 05:40:34 2018
44,Wed Jun 13 05:57:58 2018
45,Wed Jun 13 06:15:26 2018
46,Wed Jun 13 06:31:42 2018
47,Wed Jun 13 06:48:04 2018
48,Wed Jun 13 07:04:26 2018
49,Wed Jun 13 07:20:40 2018
50,Wed Jun 13 07:36:49 2018
51,Wed Jun 13 07:52:35 2018
52,Wed Jun 13 08:08:27 2018
53,Wed Jun 13 08:24:14 2018
54,Wed Jun 13 08:40:08 2018
55,Wed Jun 13 08:55:58 2018
56,Wed Jun 13 09:11:46 2018
57,Wed Jun 13 09:27:33 2018
58,Wed Jun 13 09:43:21 2018
59,Wed Jun 13 09:58:57 2018
60,Wed Jun 13 10:14:48 2018
61,Wed Jun 13 10:30:38 2018
62,Wed Jun 13 10:46:29 2018
63,Wed Jun 13 11:02:14 2018
64,Wed Jun 13 11:18:01 2018
65,Wed Jun 13 11:33:50 2018
66,Wed Jun 13 11:49:43 2018
67,Wed Jun 13 12:05:31 2018
68,Wed Jun 13 12:21:16 2018
69,Wed Jun 13 12:36:52 2018
70,Wed Jun 13 12:52:35 2018
71,Wed Jun 13 13:08:26 2018
72,Wed Jun 13 13:24:20 2018
73,Wed Jun 13 13:40:15 2018
74,Wed Jun 13 13:56:14 2018
75,Wed Jun 13 14:12:06 2018
76,Wed Jun 13 14:27:56 2018
77,Wed Jun 13 14:43:49 2018
78,Wed Jun 13 14:59:46 2018
79,Wed Jun 13 15:15:44 2018
80,Wed Jun 13 15:31:34 2018
81,Wed Jun 13 15:47:29 2018
82,Wed Jun 13 16:03:21 2018
83,Wed Jun 13 16:19:08 2018
84,Wed Jun 13 16:35:02 2018
85,Wed Jun 13 16:51:05 2018
86,Wed Jun 13 17:07:12 2018
87,Wed Jun 13 17:23:10 2018
88,Wed Jun 13 17:39:09 2018
89,Wed Jun 13 17:55:07 2018
90,Wed Jun 13 18:11:02 2018
91,Wed Jun 13 18:26:56 2018
92,Wed Jun 13 18:42:50 2018
93,Wed Jun 13 18:58:37 2018
94,Wed Jun 13 19:14:23 2018
95,Wed Jun 13 19:30:15 2018
96,Wed Jun 13 19:46:01 2018
97,Wed Jun 13 20:01:52 2018
98,Wed Jun 13 20:17:42 2018
99,Wed Jun 13 20:33:38 2018
